3	1	1	1	5	1	1	4	1	1	1	3	1	1	1	1	1	2	0.039
3	1	1	1	5	1	1	4	1	1	4	3	1	1	1	1	1	2	0.045
3	1	1	1	4	1	1	4	1	1	4	3	1	1	1	1	1	2	0.038
3	1	1	1	4	1	1	4	1	1	3	3	1	1	1	1	1	2	0.052
3	1	1	1	2	1	1	4	1	1	2	3	1	1	1	1	1	2	0.032
3	1	1	1	1	1	1	3	1	1	2	2	1	1	1	1	1	2	0.058
3	1	1	1	1	1	1	4	1	1	2	3	1	1	1	1	1	2	0.046
3	1	1	1	1	1	1	3	1	1	2	2	1	1	2	1	1	2	0.033
3	1	1	1	1	1	1	3	1	1	5	2	1	1	2	1	1	2	0.056
3	1	1	1	2	1	1	3	1	1	5	2	1	1	1	1	1	2	0.043
3	1	1	1	2	1	1	3	1	1	5	4	1	1	1	1	1	2	0.032
3	1	1	1	2	1	1	2	1	1	5	4	1	1	1	1	1	2	0.062
3	1	1	1	3	1	1	1	1	1	5	4	1	1	1	1	1	2	0.044
3	1	1	1	1	1	2	1	1	2	5	4	1	1	2	1	1	2	0.028
1	1	1	1	1	1	2	1	1	2	5	4	1	2	2	1	1	2	0.053
1	1	1	1	1	1	2	2	1	2	3	1	2	2	2	1	1	2	0.041
1	1	2	1	3	1	2	2	1	2	3	1	2	2	2	1	1	2	0.043
2	1	2	1	3	1	2	2	1	2	3	1	2	2	2	2	1	2	0.058
2	2	2	1	3	1	2	2	1	2	3	1	2	2	2	2	1	2	0.032
2	2	2	1	3	1	2	2	1	2	3	1	2	2	2	2	2	2	0.034
2	2	2	2	3	2	2	2	1	2	3	1	2	2	2	2	2	1	0.052
2	2	2	2	3	2	3	2	2	3	3	1	2	2	2	2	2	1	0.041
2	2	2	2	3	2	3	2	2	3	1	1	2	2	2	2	2	1	0.038

